attribute,TempAttribute,boolean,date_Exploration,keep,file

canonizedBy,canonizedDate,1,2014-05-28 : 04:31,354,canonizedDateQuadFile.txt
deathCause,deathYear,1,2014-05-28 : 04:31,2766,deathYearQuadFile.txt
areaCode,areaDate,0,,2014-05-28 : 04:31,
aircraftTrainer,airDate,0,,2014-05-28 : 04:31,
coachingRecord,recordDate,0,,2014-05-28 : 04:31,
beatifiedBy,beatifiedDate,1,2014-05-28 : 04:31,409,beatifiedDateQuadFile.txt
protectionStatus,statusYear,0,,2014-06-07 : 03:12,
wineRegion,wineYear,0,,2014-06-07 : 03:12,
firstAscentPerson,ascentDate,0,,2014-06-07 : 03:12,
youthWing,youthYears,0,,2014-06-07 : 03:12,
councilArea,areaDate,0,,2014-06-07 : 03:12,
statisticValue,statisticYear,0,,2014-06-07 : 03:12,
whaDraft,whaDraftYear,0,,2014-06-07 : 03:26,
managerTitle,managerYears,0,,2014-06-07 : 03:26,
statisticLabel,statisticYear,1,2014-06-07 : 03:36,183,statisticYearQuadFile.txt
wineRegion,wineYear,0,,2014-06-07 : 04:03,
areaRank,areaDate,0,,2014-06-07 : 04:03,
wineRegion,wineYear,0,,2014-06-07 : 04:03,
firstAscentPerson ,firstAscentYear,1,2014-06-07 : 04:28,582,firstAscentYearQuadFile.txt
beatifiedPlace,beatifiedDate,1,2014-06-07 : 04:28,278,beatifiedDateQuadFile.txt
latestReleaseVersion,latestReleaseDate,0,,2014-06-07 : 04:44,
landingSite,landingDate,1,2014-06-07 : 04:44,0,landingDate-landingSiteQuadFile.txt
landingVehicle,landingDate,1,2014-06-07 : 04:44,16,landingDate-landingVehicleQuadFile.txt
launchPad,launchDate,1,2014-06-07 : 04:51,97,launchDate-launchPadQuadFile.txt
launchSite,launchDate,0,,2014-06-07 : 04:51,
launchVehicle,launchDate,1,2014-06-07 : 04:51,46,launchDate-launchVehicleQuadFile.txt
firstFlight,firstFlightEndDate,1,2014-06-07 : 04:53,3,firstFlightEndDate-firstFlightQuadFile.txt
firstFlight,firstFlightStartDate,1,2014-06-07 : 04:55,3,firstFlightStartDate-firstFlightQuadFile.txt
lastFlight,lastFlightEndDate,1,2014-06-07 : 04:56,3,lastFlightEndDate-lastFlightQuadFile.txt
lastFlight,lastFlightStartDate,1,2014-06-07 : 05:00,3,lastFlightStartDate-lastFlightQuadFile.txt
frequencyOfPublication,finalPublicationDate,0,,2014-06-07 : 05:00,
finalPublicationYear,finalPublicationDate,0,,2014-06-07 : 05:00,
firstLaunchRocket,firstLaunchDate,1,2014-06-07 : 05:00,4,firstLaunchDate-firstLaunchRocketQuadFile.txt
lastLaunchDate,firstLaunchDate,0,,2014-06-07 : 05:00,
lastLaunchRocket,firstLaunchDate,1,2014-06-07 : 05:00,8,firstLaunchDate-lastLaunchRocketQuadFile.txt
port1,port1DockingDate,1,2014-06-07 : 05:00,74,port1DockingDate-port1QuadFile.txt
port1,port1UndockingDate,1,2014-06-07 : 05:00,73,port1UndockingDate-port1QuadFile.txt
port2,port2UndockingDate,1,2014-06-07 : 05:00,3,port2UndockingDate-port2QuadFile.txt
port2,port2DockingDate,1,2014-06-07 : 05:00,4,port2DockingDate-port2QuadFile.txt
wineProduced,wineYear,0,,2014-06-07 : 05:00,
projectObjective,projectEndDate,0,,2014-06-07 : 05:19,
canonizedPlace,canonizedDate,1,2014-06-07 : 05:19,240,canonizedDate-canonizedPlaceQuadFile.txt
latestPreviewVersion,latestPreviewDate,0,,2014-06-07 : 05:19,
latestReleaseVersion,latestReleaseDate,0,,2014-06-07 : 05:19,
recordedIn,recordDate,1,2014-06-07 : 05:19,9900,recordDate-recordedInQuadFile.txt
whaDraftTeam,whaDraftYear,0,,2014-06-07 : 05:19,
birthPlace,birthYear,1,2014-06-07 : 05:44,50000,birthYear-birthPlaceQuadFile.txt
birthPlace,birthDate,1,2014-06-07 : 05:44,50000,birthDate-birthPlaceQuadFile.txt
premierePlace,premiereYear,1,2014-06-07 : 05:44,1133,premiereYear-premierePlaceQuadFile.txt
premierePlace,premiereDate,1,2014-06-07 : 05:44,774,premiereDate-premierePlaceQuadFile.txt
managerClub,managerYears,0,,2014-06-07 : 05:44,
trainerClub,trainerYears,0,,2014-06-07 : 05:44,
eruption,eruptionYear,0,,2014-06-07 : 05:44,
whaDraftTeam,whaDraftYear,0,,2014-06-07 : 05:44,
managerClub,managerYears,0,,2014-06-07 : 05:44,
trainerClub,trainerYears,0,,2014-06-07 : 05:44,
canonizedPlace,canonizedDate,1,2014-06-09 : 10:04,240,canonizedDate-canonizedPlaceQuadFile.txt
electionDateLeader,electionDate,0,,2014-06-11 : 03:23,
visitorStatisticsAsOf,statisticYear,0,,2014-06-11 : 03:23,
totalPopulation,populationYear,0,,2014-06-11 : 04:22,
protectionStatus,statusYear,0,,2014-06-11 : 04:22,
populationMetroDensity,populationDate,0,,2014-06-11 : 04:22,
populationAsOf,populationYear,0,,2014-06-11 : 04:22,
